year,typeOfDeath,country,region
1997,Dangerous Assignment,India,South Asia
2018,N/A,Philippines,East Asia & Pacific
1995,Murder,Colombia,Latin America & Caribbean
2009,N/A,Honduras,Latin America & Caribbean
1999,Crossfire,Yugoslavia,Europe & Central Asia
2012,N/A,Mexico,Latin America & Caribbean
1992,Murder,Lebanon,Middle East & North Africa
2008,N/A,Russian Federation,Europe & Central Asia
2011,Murder,Russian Federation,Europe & Central Asia
2017,Murder,India,South Asia
2005,Murder,Bangladesh,South Asia
2005,Murder,Lebanon,Middle East & North Africa
2011,Dangerous Assignment,Brazil,Latin America & Caribbean
2004,Murder,Philippines,East Asia & Pacific
2009,Murder,Kazakhstan,Europe & Central Asia
1992,Crossfire,Bosnia and Herzegovina,Europe & Central Asia
2015,Murder,Ghana,Sub-Saharan Africa
2005,N/A,Philippines,East Asia & Pacific
2006,Murder,Philippines,East Asia & Pacific
2015,Murder,France,Europe & Central Asia
2008,N/A,Bulgaria,Europe & Central Asia
1998,Crossfire,Georgia,Europe & Central Asia
2000,Murder,Ukraine,Europe & Central Asia
2001,Murder,Georgia,Europe & Central Asia
2018,Murder,United States,North America
2000,N/A,Haiti,Latin America & Caribbean
1997,Murder,Colombia,Latin America & Caribbean
2015,Murder,Brazil,Latin America & Caribbean
2007,N/A,Mexico,Latin America & Caribbean
2011,Murder,Philippines,East Asia & Pacific
2010,Dangerous Assignment,Cameroon,Sub-Saharan Africa
2014,Crossfire,"Congo, Dem. Rep.",Sub-Saharan Africa
2003,N/A,Honduras,Latin America & Caribbean
2013,Crossfire,Syrian Arab Republic,Middle East & North Africa
2004,Crossfire,Iraq,Middle East & North Africa
2018,Murder,Afghanistan,South Asia
2012,N/A,Iraq,Middle East & North Africa
2013,Murder,Mali,Sub-Saharan Africa
1994,Murder,India,South Asia
2014,Murder,Pakistan,South Asia
2010,Murder,Pakistan,South Asia
1996,Murder,India,South Asia
1994,Murder,Rwanda,Sub-Saharan Africa
2012,Dangerous Assignment,Syrian Arab Republic,Middle East & North Africa
2002,N/A,Colombia,Latin America & Caribbean
2009,Murder,Philippines,East Asia & Pacific
2015,Murder,Brazil,Latin America & Caribbean
1992,N/A,Philippines,East Asia & Pacific
2009,N/A,Philippines,East Asia & Pacific
2006,N/A,Nigeria,Sub-Saharan Africa
2012,N/A,Bangladesh,South Asia
1994,Murder,Rwanda,Sub-Saharan Africa
1992,Murder,Philippines,East Asia & Pacific
2014,Murder,Mexico,Latin America & Caribbean
2004,Murder,Mexico,Latin America & Caribbean
2015,N/A,Philippines,East Asia & Pacific
2008,Crossfire,Georgia,Europe & Central Asia
1993,Crossfire,Bosnia and Herzegovina,Europe & Central Asia
2015,Dangerous Assignment,France,Europe & Central Asia
2003,Murder,Colombia,Latin America & Caribbean
2000,N/A,Colombia,Latin America & Caribbean
2012,N/A,Mexico,Latin America & Caribbean
2012,Dangerous Assignment,Colombia,Latin America & Caribbean
2001,Murder,Latvia,Europe & Central Asia
2000,Murder,Colombia,Latin America & Caribbean
2006,Murder,Colombia,Latin America & Caribbean
1999,Murder,Colombia,Latin America & Caribbean
2003,Murder,Nepal,South Asia
2013,Crossfire,"Egypt, Arab Rep.",Middle East & North Africa
2017,Dangerous Assignment,Afghanistan,South Asia
2011,Murder,Iraq,Middle East & North Africa
2006,N/A,Iraq,Middle East & North Africa
1992,Murder,Turkey,Europe & Central Asia
2008,Murder,Iraq,Middle East & North Africa
2012,N/A,Syrian Arab Republic,Middle East & North Africa
2009,Crossfire,Iraq,Middle East & North Africa
2013,N/A,Pakistan,South Asia
1992,Murder,Turkey,Europe & Central Asia
2017,N/A,Turkey,Europe & Central Asia
2007,Murder,Iraq,Middle East & North Africa
2007,Murder,Iraq,Middle East & North Africa
1995,Murder,Algeria,Middle East & North Africa
2018,Murder,Syrian Arab Republic,Middle East & North Africa
2014,N/A,Syrian Arab Republic,Middle East & North Africa
2012,Murder,Cambodia,East Asia & Pacific
2009,Murder,Philippines,East Asia & Pacific
1993,Murder,Somalia,Sub-Saharan Africa
2017,Crossfire,Iraq,Middle East & North Africa
2009,N/A,Colombia,Latin America & Caribbean
2001,Murder,Afghanistan,South Asia
2005,Murder,Sierra Leone,Sub-Saharan Africa
2002,Murder,Bangladesh,South Asia
2016,Crossfire,"Yemen, Rep.",Middle East & North Africa
2016,Murder,Iraq,Middle East & North Africa
2011,Dangerous Assignment,"Yemen, Rep.",Middle East & North Africa
1994,Murder,Algeria,Middle East & North Africa
2008,Dangerous Assignment,Somalia,Sub-Saharan Africa
2009,Murder,Somalia,Sub-Saharan Africa
2012,Murder,Somalia,Sub-Saharan Africa
2012,Murder,Somalia,Sub-Saharan Africa
2009,Crossfire,Somalia,Sub-Saharan Africa
2012,N/A,Syrian Arab Republic,Middle East & North Africa
2017,Crossfire,Syrian Arab Republic,Middle East & North Africa
2006,Murder,Pakistan,South Asia
2004,Crossfire,Iraq,Middle East & North Africa
2011,N/A,Honduras,Latin America & Caribbean
2018,N/A,Mexico,Latin America & Caribbean
2003,Dangerous Assignment,Guatemala,Latin America & Caribbean
2002,Crossfire,Colombia,Latin America & Caribbean
1992,N/A,Sudan,Sub-Saharan Africa
2010,N/A,India,South Asia
2015,N/A,India,South Asia
2009,Murder,Philippines,East Asia & Pacific
2010,N/A,Honduras,Latin America & Caribbean
2004,N/A,Ukraine,Europe & Central Asia
2001,N/A,Colombia,Latin America & Caribbean
2006,Murder,Indonesia,East Asia & Pacific
2016,N/A,Peru,Latin America & Caribbean
1997,N/A,Guatemala,Latin America & Caribbean
1999,Murder,Colombia,Latin America & Caribbean
2007,N/A,Philippines,East Asia & Pacific
2004,Murder,Philippines,East Asia & Pacific
2001,N/A,Kuwait,Middle East & North Africa
2011,N/A,Iraq,Middle East & North Africa
2005,Murder,Iraq,Middle East & North Africa
2015,Murder,Somalia,Sub-Saharan Africa
2010,Dangerous Assignment,Thailand,East Asia & Pacific
2019,Dangerous Assignment,Iraq,Middle East & North Africa
2008,N/A,Iraq,Middle East & North Africa
1993,Murder,Somalia,Sub-Saharan Africa
2012,Crossfire,Syrian Arab Republic,Middle East & North Africa
2007,Murder,Turkey,Europe & Central Asia
2010,N/A,Mexico,Latin America & Caribbean
2015,Crossfire,Syrian Arab Republic,Middle East & North Africa
2004,Murder,Bangladesh,South Asia
2011,N/A,Mexico,Latin America & Caribbean
2019,N/A,Zambia,Sub-Saharan Africa
1992,Murder,Turkey,Europe & Central Asia
2017,Dangerous Assignment,Afghanistan,South Asia
2012,Crossfire,Israel,Middle East & North Africa
2005,Murder,Iraq,Middle East & North Africa
2007,N/A,Iraq,Middle East & North Africa
2007,Murder,Iraq,Middle East & North Africa
2006,Murder,Iraq,Middle East & North Africa
1995,N/A,Uganda,Sub-Saharan Africa
2009,Murder,Philippines,East Asia & Pacific
2015,Murder,Turkey,Europe & Central Asia
2018,Murder,Syrian Arab Republic,Middle East & North Africa
2011,N/A,Sierra Leone,Sub-Saharan Africa
1993,Dangerous Assignment,Bosnia and Herzegovina,Europe & Central Asia
2016,Crossfire,Syrian Arab Republic,Middle East & North Africa
2018,N/A,Sierra Leone,Sub-Saharan Africa
2006,Murder,Iraq,Middle East & North Africa
1994,N/A,Rwanda,Sub-Saharan Africa
2017,N/A,Honduras,Latin America & Caribbean
2001,Murder,Ukraine,Europe & Central Asia
